Term	Notes	Ukrainian
statuseffect_wellfed_name		Well Fed
label_sailing_off_full		Sailing Off
language_dutch		Dutch
language_french		French
language_german		German
language_italian		Italian
language_polish		Polish
language_spanish		Spanish
credits_aran		Concept, programming, design
credits_lisa		Game art
credits_sokpop		Game by Sokpop
credits_local_heroes		Localisation
credits_special_thanks		Special Thanks
label_relic_brought_to_cathedral		The Relic was brought to the Cathedral
label_controls		Controls
control_time_1		1x Speed
control_time_2		5x Speed
control_time_3		0x Speed
control_time_pause		Pause Time
control_panel_collapse		Toggle Sidebar
control_zoom		Zoom
control_sell		Sell Card
control_time_toggle		Toggle Time
control_pause		Pause Game
control_grab		Grab
control_activate_UI		Activate UI
control_move		Move
control_snap_move		Snap Move
control_snap_cards		Snap Cards To Grid
label_keyboard_mouse		Keyboard & Mouse
label_controller		Controller
label_waiting_for_input		Waiting for input
label_sellbox_description		Drag Cards here to sell them. You can also use [action_sell] to sell cards.
label_toggle_panel_text	Controls can now be rebound, so that the parameters will be replaced with the appropriate key	Press this button or press [action_panel_collapse] to toggle the Quests and Ideas Tab
label_auto_pause_controller		Automatically pause time when dragging cards (controller):
label_auto_pause_keyboardmouse		Automatically pause time when dragging cards (keyboard):
label_binding	Used when rebinding a control to a key	Assigning [control]
label_accessibility		Accessibility
language_portuguese		Brazilian Portuguese
language_chinese		Chinese
language_japanese		Japanese
language_korean		Korean
label_progress_stored		Progress will be saved
label_go_to_island_prompt		Are you sure you want to travel to the Island? This will first end the current Moon and feed your Villagers
label_return_to_mainland_prompt		Are you sure you want to travel back to the Mainland? This will first end the current Moon and feed your Villagers
label_not_enough_food_before_sailing		You need to have enough Food for your Villagers before you can sail off
idea_growth_status_11		Growing Seaweed
card_market_description		Can be used to sell Cards for more than usual
attackdamage_veryweak		Very Weak
attackdamage_weak		Weak
attackdamage_normal		Normal
attackdamage_strong		Strong
attackdamage_verystrong		Very Strong
attackdamage_extremelystrong		Extremely Strong
attackspeed_veryslow		Very Slow
attackspeed_slow		Slow
attackspeed_normal		Normal
attackspeed_fast		Fast
attackspeed_veryfast		Very Fast
attackspeed_extremelyfast		Extremely Fast
card_amulet_of_forest_description		You feel the healing power of nature running through you
card_amulet_of_forest_name		Forest Amulet
card_amulet_of_mountain_description		It grounds you
card_amulet_of_mountain_name		Mountain Amulet
card_archer_description		Afraid to get too close
card_archer_name		Archer
card_axe_description		For chopping wood and monsters
card_axe_name		Axe
card_bear_claw_description		Cheap Wolverine knockoff
card_bear_claw_name		Bear Claw
card_blowpipe_description		Blow as hard as you can
card_blowpipe_name		Blowpipe
card_blunderbuss_description		Watch out! Could blow up in your own face
card_blunderbuss_name		Blunderbuss
card_bone_spear_description		Intimidating version of a regular Spear
card_bone_spear_name		Bone Spear
card_bone_staff_description		A bone with special abilities
card_bone_staff_name		Bone Staff
card_boomerang_description		Always comes back to you
card_boomerang_name		Boomerang
card_bow_description		Makes you feel like Robin Hood
card_bow_name		Bow
card_broken_bottle_description		Cut out for the job
card_broken_bottle_name		Broken Bottle
card_builder_description		Way faster at Building
card_builder_name		Builder
card_bunny_hat_description		It's adorable!
card_bunny_hat_name		Rabbit Hat
card_chainmail_armor_description		A medieval era classic
card_chainmail_armor_name		Chainmail Armor
card_club_description		Not used for playing baseball
card_club_name		Club
card_crab_scale_armor_description		The scales are impenetrable
card_crab_scale_armor_name		Crab Scale Armor
card_crossbow_description		A gun for arrows
card_crossbow_name		Crossbow
card_dark_amulet_description		Its dark force makes you stronger
card_dark_amulet_name		Dark Amulet
card_dark_elf_description		Emo version of a regular Elf
card_dark_elf_name		Dark Elf
card_demon_sword_description		An excellent blade used by the Demon himself
card_demon_sword_name		Demon Sword
card_elf_archer_description		Elves are the best archers
card_elf_archer_name		Elf Archer
card_elf_description		Does not work for Santa Claus anymore
card_elf_name		Elf
card_enchanted_shroom_description		It's a magic shroom
card_enchanted_shroom_name		Enchanted Shroom
card_ent_description		A talking and walking tree
card_ent_name		Ent
card_feral_cat_description		Does it have rabies? Probably!
card_feral_cat_name		Feral Cat
card_fire_cloak_description		It's lit
card_fire_cloak_name		Fire Cloak
card_frog_helmet_description		Grants you frog powers
card_frog_helmet_name		Frog Helmet
card_frog_man_description		A man made of frogs
card_frog_man_name		Frog Man
card_ghost_description		Only shows up on low quality photos
card_ghost_name		Ghost
card_giant_snail_description		The French would go crazy for this one
card_giant_snail_name		Giant Snail
card_goblin_archer_description		A more talented regular Goblin
card_goblin_archer_name		Goblin Archer
card_goblin_hat_description		Goblin fashion is outdated
card_goblin_hat_name		Goblin Hat
card_goblin_shaman_description		Keeps the other Goblins happy
card_goblin_shaman_name		Goblin Shaman
card_gold_chestplate_description		Slightly overdressed for the event
card_gold_chestplate_name		Golden Chestplate
card_hammer_description		Slow and blunt but packs a punch
card_hammer_name		Hammer
card_helmet_description		It goes on top of your head. Great for cycling
card_helmet_name		Helmet
card_horned_helmet_description		Useful for strong headbuts
card_horned_helmet_name		Horned Helmet
card_iron_shield_description		A strong defense against hard blows
card_iron_shield_name		Iron Shield
card_kraken_tooth_axe_description		Left for the tooth fairy, you took it instead
card_kraken_tooth_axe_name		Kraken Tooth Axe
card_leather_tunic_description		Armor made from the finest leather
card_leather_tunic_name		Leather Tunic
card_lumberjack_description		Way faster at harvesting Wood
card_lumberjack_name		Lumberjack
card_mage_description		A post-grad Wizard
card_mage_name		Mage
card_magic_blade_description		An ordinary sword that glitters
card_magic_blade_name		Magic Blade
card_magic_broom_description		You took it from some Old Lady
card_magic_broom_name		Magic Broom
card_magic_dust_description		It looks like glitter
card_magic_dust_name		Magic Dust
card_magic_ring_description		Once it slides on your finger it grants you magic powers
card_magic_ring_name		Magic Ring
card_magic_staff_description		A long, enchanted rod
card_magic_staff_name		Magic Staff
card_magic_tome_description		An old book with spells in it
card_magic_tome_name		Magic Tome
card_magic_wand_description		A simple magic weapon
card_magic_wand_name		Magic Wand
card_merman_description		Half man, half mer
card_merman_name	It's the male version of a Mermaid	Merman
card_mimic_description		It almost got me
card_mimic_name		Mimic
card_miner_description		Way faster at harvesting Rock, Gold & Iron
card_miner_name		Miner
card_morning_star_description		Spikes on a stick
card_morning_star_name		Morning Star
card_mosquito_description		He even hates himself
card_mosquito_name		Mosquito
card_ninja_description		Silent and deadly
card_ninja_name		Ninja
card_ogre_description		Big and chunky
card_ogre_name		Ogre
card_orc_wizard_description		Mean and green
card_orc_wizard_name		Orc Wizard
card_pickaxe_description		A stick with two pointy ends
card_pickaxe_name		Pickaxe
card_pirate_hat_description		Useful for dress up parties
card_pirate_hat_name		Pirate Hat
card_pirate_sword_description		Designed for swashbucklers
card_pirate_sword_name		Pirate Sabre
card_quiver_description		Makes you more efficient
card_quiver_name		Quiver
card_rat_crown_description		Turn into the King of the Rats
card_rat_crown_name		Rat Crown
card_skull_helmet_description		Kinda messed up
card_skull_helmet_name		Skull Helmet
card_slingshot_description		Very inaccurately hurl rocks at enemies
card_slingshot_name		Slingshot
card_smithy_description		A building used for creating better weapons
card_smithy_name		Smithy
card_spiked_plank_description		For tough construction workers
card_spiked_plank_name		Spiked Plank
card_stable_portal_name		Stable Portal
card_stable_portal_status		Entering the Portal
card_staff_of_fear_description		Very scary!!
card_staff_of_fear_name		Staff of Fear
card_strange_portal_description		It looks threatening. I wonder if we can enter it?
card_strange_portal_name		Strange Portal
card_throwing_star_description		Fast and accurate, ninjas love them
card_throwing_star_name		Throwing Stars
card_tiger_fur_coat_description		Trashy but at least it makes you feel strong
card_tiger_fur_coat_name		Tiger Fur Coat
card_warrior_description		A Villager who goes to the gym
card_warrior_name		Warrior
card_wicked_witch_description		I liked her more when she was still a regular Old Lady
card_wicked_witch_name		Wicked Witch
card_wicked_witch_name_2		Old Lady
card_wizard_description		A villager with glitter
card_wizard_name		Wizard
card_wizard_robe_description		It's like a magical snuggie
card_wizard_robe_name		Wizard Robe
card_wolf_head_description		Perfect for furries
card_wolf_head_name		Wolf Head
card_wooden_shield_description		A basic defense against hard blows
card_wooden_shield_name		Wooden Shield
cardtype_equipable		Equipment
control_toggle_inventory		Open Inventory
credits_wouter		Programming
defence_veryweak		Very Weak
defence_weak		Weak
defence_normal		Normal
defence_strong		Strong
defence_verystrong		Very Strong
defence_extremelystrong		Extremely Strong
hitchance_verysmall		Very Small
hitchance_small		Small
hitchance_normal		Normal
hitchance_high		High
hitchance_veryhigh		Very High
hitchance_extremelyhigh		Extremely High
idea_amulet_of_forest_status_0		Crafting Amulet of the Forest
idea_amulet_of_mountain_status_0		Crafting Amulet of the Mountain
idea_axe_status_0		Creating an Axe
idea_blowpipe_status_0		Creating a Blowpipe
idea_blunderbuss_status_0		Creating a Blunderbuss
idea_bone_spear_status_0		Creating a Bone Spear
idea_bone_staff_status_0		Creating a Bone Staff
idea_boomerang_status_0		Creating a Boomerang
idea_bow_status_0		Creating a Bow
idea_broken_bottle_status_0		Smashing a Bottle
idea_chainmail_armor_status_0		Creating Chainmail Armor
idea_club_status_0		Creating a Club
idea_crossbow_status_0		Creating a Crossbow
idea_gold_chestplate_status_0		Smithing a Chestplate
idea_growth_status_12		Growing Sugar Cane
idea_hammer_status_0		Creating a Hammer
idea_iron_shield_status_0		Smithing an Iron Shield
idea_magic_blade_status_0		Creating a Magic Blade
idea_magic_ring_status_0		Creating a Magic Ring
idea_magic_staff_status_0		Creating a Magic Staff
idea_magic_tome_status_0		Creating a Magic Tome
idea_magic_wand_status_0		Creating a Magic Wand
idea_pickaxe_status_0		Creating a Pickaxe
idea_slingshot_status_0		Creating a Slingshot
idea_smithy_status_0		Building a Smithy
idea_spiked_plank_status_0		Spiking a Plank
idea_stable_portal_status_0		Building a Stable Portal
idea_throwing_star_status_0		Creating a Throwing Star
idea_wizard_robe_status_0		Creating Wizard Robe
idea_wooden_shield_status_0		Creating Wooden Shield
label_base_combatlevel		Base Combat Level [level]
label_can_drop		Can drop:
label_cancel_the_ritual		Wait a minute...
label_combatlevel		Combat Level [level]
label_debug_cards	Does not need to be translated	Cards
label_debug_coin_chest	Does not need to be translated	Spawn full coin chest
label_debug_effects	Does not need to be translated	Status effects
label_debug_end_moon	Does not need to be translated	End current moon
label_debug_endless_moon	Does not need to be translated	Endless moon: [on_off]
label_debug_general	Does not need to be translated	General
label_debug_reset_run	Does not need to be translated	Reset run vars
label_debug_scenario_demon	Does not need to be translated	Spawn the Demon
label_debug_scenario_demon_lord	Does not need to be translated	Spawn the Demon Lord
label_debug_scenario_island	Does not need to be translated	Go to the Island
label_debug_scenario_kraken	Does not need to be translated	Spawn the Kraken
label_debug_scenario_witch_forest	Does not need to be translated	Go to witch forest
label_debug_shortcut_copy	Does not need to be translated	Hover + C: Copy card
label_debug_shortcut_delete	Does not need to be translated	Hover + R: Remove/kill card
label_debug_shortcut_heal	Does not need to be translated	Hover + H: heal card
label_debug_shortcut_progress	Does not need to be translated	Hover + Z: Complete progress
label_debug_shortcut_status	Does not need to be translated	Hover + U: Remove status effects
label_debug_shortcuts	Does not need to be translated	Shortcuts
label_debug_spawn_enemies	Does not need to be translated	Spawn Enemies
label_debug_toggle_no_food	Does not need to be translated	Not using food: [on_off]
label_debug_toggle_peaceful_mode	Does not need to be translated	Peaceful mode: [on_off]
label_debug_unlock_boosters	Does not need to be translated	Unlock all booster packs
label_debug_unlock_ideas	Does not need to be translated	Unlock all ideas
label_debug_unlock_quests	Does not need to be translated	Unlock all quests
label_defence		Defense
label_demo		Demo
label_demo_any_key_to_start		Press any key to start playing
label_demo_reset_warning		Demo will reset in [time]s, press any key to continue
label_equiping		Equipping [card]
label_everyone_in_forest_dead		You could not seek revenge
label_everyone_in_forest_dead_text		Strenghten up and try again!
label_extra_combat_stats		Extra Combat Stats: [on_off]
label_forest_fight		Get ready to fight!
label_forest_fight_wave_10		Get ready to fight the Wicked Witch!
label_forest_intro_1		You enter a Strange Dark Forest
label_forest_intro_2		An old lady appears!
label_forest_intro_3		Good day to you, traveler..
label_forest_intro_4		Now she's closer, she does not look like an Old Lady at all!
label_forest_intro_5		She's a Wicked Witch!
label_forest_intro_6		You've come to seek revenge, but you'll never defeat me!
label_forest_intro_title		The Dark Forest
label_forest_leave		You fled with your earnings
label_forest_lost		Pathetic, was that everything you've got?
label_forest_lost_2		All your villagers have fallen. You have to take your losses and fall back.
label_forest_lost_title		Your Villagers withered away
label_forest_resume		So you're back for more? You will never defeat me!
label_forest_resume_title		Back again?
label_forest_wave_10_end		How did this happen? I'll defeat you!
label_forest_wave_10_end2		Do you want to fight the Wicked Witch or leave the Forest?
label_forest_wave_end		You've beaten my minions, but I have plenty more!
label_forest_wave_end_leave		Flee the Forest
label_forest_wave_end_next_wave		Fight wave [wave]
label_forest_wave_end_wave_10		Fight the Wicked Witch
label_forest_wave_end2		Do you want to fight the next wave or run away?
label_forest_wave_endless_end		You've defeated the Wicked Witch, yet a dark force still lingers..
label_forest_wave_endless_end3		You can continue fighting to get more resources
label_forest_wave_title		Wave Defeated
label_framerate_120		120 FPS
label_framerate_30		30 FPS
label_framerate_60		60 FPS
label_framerate_cap		Framerate limit: [fps_cap]
label_framerate_unlimited		None
label_go_to_forest_prompt		Are you sure you want to travel through this Portal?
label_inventory		Inventory
label_not_enough_food_before_portal		You need to have enough Food for your Villagers before you can enter the Portal
label_taking_portal_full		Teleporting through Portal
label_taking_portal_title		Take the Portal
label_toggle_inventory		Click to toggle the inventory
label_total_combatlevel		Total Combat Level [level]
quest_break_bottle_text		Break a Bottle
quest_build_smithy_text		Build a Smithy
quest_build_stable_portal_text		Build a Stable Portal
quest_craft_amulet_forest_text		Craft the Amulet of the Forest
quest_equip_archer_quiver_text		Equip an Archer with a Quiver
quest_fight_wave_six_text		Get to wave 6
quest_fight_wicked_witch_text		Fight the Wicked Witch
quest_find_dark_forest_text		Find the Dark Forest
quest_finish_first_wave_text		Complete the first wave
quest_plant_berry_bush_text		Grow a Berry Bush using Soil
quest_punch_rock_text		Mine a Rock using a Villager
quest_punch_tree_text		Harvest a Tree using a Villager
quest_train_archer_text		Train an Archer
quest_train_ninja_text		Train a Ninja
quest_train_wizard_text		Train a Wizard
quest_villager_combat_20_text		Have a Villager with Combat Level 20
quest_wear_bunny_hat_text		Make a Villager wear a Rabbit Hat
quest_wear_crab_scale_armor_text		Make a Villager wear Crab Scale Armor
questgroup_equipment		Strengthen Up
questgroup_forest_mainquest		The Dark Forest
rumor_combat_description		Some attack types are stronger against others. For example, Melee beats Magic!
rumor_combat_name		Combat
specialhit_bleeding_long		[chance]% chance to Bleed [target]
specialhit_crit_long		[chance]% chance to do a Critical Hit on [target]
specialhit_damage_long		[chance]% chance to Damage [target]
specialhit_frenzy_long		[chance]% chance to Frenzy [target]
specialhit_heal_long		[chance]% chance to Heal [target]
specialhit_heallowest_long		[chance]% chance to Heal friendly with lowest health
specialhit_invulnerable_long		[chance]% chance to make [target] Invulnerable
specialhit_lifesteal_long		[chance]% chance to Lifesteal from [target]
specialhit_poison_long		[chance]% chance to Poison [target]
specialhit_stun_long		[chance]% chance to Stun [target]
statuseffect_bleeding_description		Deals damage every 2s for 10s
statuseffect_bleeding_lore		It's gushing out
statuseffect_bleeding_name		Bleeding
statuseffect_frenzy_description		Increases attack speed for 10s
statuseffect_frenzy_lore		They're enraged
statuseffect_frenzy_name		Frenzy
statuseffect_invulnerable_description		Can't be damaged for 10s
statuseffect_invulnerable_lore		A skin made of steel
statuseffect_invulnerable_name		Invulnerable
target_allenemy		all enemies
target_allfriendly		all friendlies
target_randomenemy		random enemy
target_randomfriendly		random friendly
target_self		self
target_target		target
cardtype_humans		Villagers
label_food_infobox		Every Moon you need [required_food_count] [foodicon] to feed your Villagers. You currently have [food_count] [foodicon]
label_food_infobox_warning		Get [foodicon] so you won't lose your Villagers!
label_starving_humans		<one>There is not enough Food.. 1 Villager will starve of Hunger<other>There is not enough Food.. [count] Villagers will starve of Hunger
card_tuna_description		Chunky fish
card_cod_description		Wet and slippery fish
card_mackerel_description		Small fish
label_health		Max Health
label_wave		Wave [wave]
label_undiscovered_cards_tooltip		This pack still contains some undiscovered cards
label_undiscovered_cards_tooltip_title		Undiscovered Cards
rumor_dark_forest_name		Dark Forest
rumor_dark_forest_description		There's a hidden world behind the Strange Portal
pack_equipment_text	Name of a Card Pack related to Combat	The Armory
label_ui_scale		UI Scale: [scale]
label_ui_scale_100		100%
label_ui_scale_80		80%
label_ui_scale_60		60%
pack_combat_intro_text		New Weaponry
label_strange_portal_appeared_strong		It seems stronger than usual
label_itemlevel		Item Level [level]
label_health_info		Health: [health]/[maxhealth]
card_rare_portal_name		Rare Portal
card_rare_portal_description		It looks threatening. I wonder if we can enter it?
label_forest_wave_endless_end2		You have finished the Dark Forest quest
label_max_villager_in_portal		You can only take 7 Villagers in the portal
card_stable_portal_description		A permanent portal to The Dark Forest. Can move 7 Cards. Time for revenge!
label_update_title_forest		The Dark Forest Update
label_update_text_forest	The # adds newlines to the text. Please keep them	The latest update is here! We've added a new area, made big changes to the combat in the game, and added several quality of life fixes!##This update brings a lot of changes to the base game. For the best experience you should start a new run!
card_militia_description		A villager that's ready to rumble.
card_swordsman_description		A villager that's ready to fight!
quest_pause_game_text		Pause using the play icon in the top right corner
card_university_name		University
card_university_description_long		A place of wisdom. Gives you a new Idea for every [max_count] Coins you gift them. [count]/[max_count] Coins given.
card_university_description_completed		A place of wisdom. You've discovered all their Ideas.
idea_university_status_0		Building a University
label_invention_fullname		Invention: [name]
card_lighthouse_name		Lighthouse
card_lighthouse_description		Increases the board size past the Warehouse limit
idea_lighthouse_status_0		Building a Lighthouse
card_resource_chest_name_override	[resource] is replaced by the resource the chest is holding, e.g. Wood Chest	[resource] Chest
card_resource_chest_name		Resource Chest
card_resource_chest_description		A Chest for storing Resources
card_resource_chest_description_long		"A Chest containing [amount] [resource] "
idea_resourcechest_status_0		Building Resource Chest
card_resource_magnet_name		Resource Magnet
card_resource_magnet_name_override		[resource] Magnet
card_resource_magnet_description		This card magically pulls cards of the same kind towards it
card_resource_magnet_description_long	[resource] is replaced by the resource the magnet is pulling, e.g. Wood Magnet	Magnet is pulling [resource]
idea_resource_magnet_status_0		Building a Resource Magnet
card_heavy_foundation_name		Magic Glue
card_heavy_foundation_description		Sticks the stack on top of it to the board and prevents it from moving
idea_heavy_foundation_status_0		Crafting Magic Glue
card_conveyor_name		Crane
card_conveyor_description		Lifts cards from one place to another
card_conveyor_status		Lifting [resource]
idea_conveyor_status_0		Building a Crane
card_hotpot_name		Hotpot
card_hotpot_description		A replenishable source of Food that your Villagers can eat from. Add Food and they'll eat from it at the end of the Moon!
idea_hotpot_status_0		Building a Hotpot
card_trash_can_name		Dustbin
card_trash_can_description		Allows you to get rid of cards you don't want anymore
idea_trash_can_status_0		Building a Dustbin
card_trash_can_status_0		Getting rid of Card
label_update_text_chaos	The # adds newlines to the text. Please keep them	Here's a new minor update! We've added a bunch of cards that will make life in the mid-game and late-game a lot more manageable.##There are cards that will help you with food management, resource management and even some cards you can use to set up some simple automation!##We've also fixed some bugs, as well as added quality of life fixes. Enjoy!
label_update_title_chaos		Order & Structure
label_menu_sub_title		Order & Structure
card_breeding_pen_name		Breeding Pen
card_breeding_pen_description		A pen for breeding Animals
idea_breedingpen_status_0		Building a Breeding Pen
action_breeding_status		Breeding Animals
action_slaughtering_status		Butchering animal
card_slaughter_house_name		Butchery
card_slaughter_house_description		Sends animals on vacation
idea_slaughterhouse_status_0		Building a Butchery
card_wishing_well_name		Wishing Well
card_wishing_well_description_long		<one>It gives you a wish for every [count] coins. You currently have [amount] wish<other>It gives you a wish for every [count] coins. You currently have [amount] wishes
card_wishing_well_wish_1		Aah! My first wish
card_wishing_well_wish_2		I'm feeling lucky!
card_wishing_well_wish_5		Oh happy days!
card_wishing_well_wish_10		I really hope this Wishing Well does something?
card_wishing_well_wish_20		I sure am spending a lot of money on wishes
card_wishing_well_wish_50		This isn't going anywhere. I should stop buying wishes
idea_wishing_well_status_0		Building a Wishing Well
card_brickyard_status		Making a Brick
card_sawmill_status		Making a Plank
label_one_villager_needs_to_stay_island		At least one Villager needs to stay on the Island
card_university_status		Researching
card_altar_description		Used for summoning Spirits
card_altar_name		Altar
card_angry_royal_description		You have angered the most important man alive
card_angry_royal_name		Angry Royal
card_animal_cage_description		Can hold 1 Animal
card_animal_cage_name		Animal Cage
card_animal_cage_status_0		Building an Animal Cage
card_animal_eating_status		Eating Wheat
card_animal_old_name		Old [name]
card_animal_pen_status		[name] is producing [card]
card_baby_dragon_description		A magic dinosaur
card_baby_dragon_name		Baby Dragon
card_barrel_description		Turns wet mixtures into different wet mixtures
card_barrel_name		Barrel
card_barrel_status_0		Building a Barrel
card_beer_description		Water and wheat. Iconic duo.
card_beer_name		Beer
card_beer_status_0		Brewing Beer
card_book_description		Videogames, but for nerds
card_book_name		Book
card_book_status_0		Making a Book
card_bread_description		Who doesn't love it
card_bread_name		Bread
card_bread_status_0		Baking Bread
card_cat_description		Cute and mean
card_cat_name		Cat
card_charity_description		Generates 1 Happiness for every [amount] Coins you give it
card_charity_name		Charity
card_charity_status_0		Building a Charity
card_charity_status_active		Giving to Charity
card_cheese_description		It tastes like Gouda
card_cheese_name		Cheese
card_cheese_status_0		Making Cheese
card_corpse_name_long		Corpse of [name]
card_corpse_remove		Burying Corpse
card_crown_description		Pretend to be a Royal
card_crown_name		Crown
card_crown_status_0		Making a Crown
card_curse_happiness_description		Your Villagers need Happiness every [month] moons.
card_death_curse_description		Death, but no taxes. Villagers grow old and get sick.
card_death_curse_name		Curse of Death
card_death_recipe_description		Offering Raw Meat at the Altar will summon a spirit
card_death_recipe_name		World of Death
card_death_spirit_description		From a far away world, where Villagers get old and sick
card_death_spirit_name		Spirit of Death
card_display_spirit_dlc_description		Buy the Cursed Worlds DLC to get access to these cards
card_display_spirit_dlc_name		Cursed Worlds
card_dough_description		It passes the windowpane test
card_dough_name		Dough
card_dough_status_0		Making Dough
card_dragon_egg_description		A big speckled chicken egg
card_dragon_egg_name		Dragon Egg
card_dragon_egg_name_cracked		Cracked Dragon Egg
card_dragon_scale_armor_description		A nice piece of armor, but at what cost...
card_dragon_scale_armor_name		Dragonscale Armor
card_euphoria_description		A feeling or state of intense excitement and happiness
card_euphoria_name		Euphoria
card_euphoria_status_0		Creating Euphoria
card_fiend_description		A large, demon-like creature
card_fiend_name		Fiend
card_fish_chips_description		Not to be confused with Fish and Crisps
card_fish_chips_name		Fish and Chips
card_fish_chips_status_0		Making Fish and Chips
card_flour_description		Sandy. The main ingredient for Dough
card_flour_mill_description		Turns Wheat into Flour
card_flour_mill_name		Flour Mill
card_flour_name		Flour
card_fountain_of_youth_description		Lifts the Curse of Death
card_fountain_of_youth_name		Fountain of Youth
card_fountain_of_youth_status_0		Creating The Fountain of Youth
card_french_fries_description		Crispy Potato
card_french_fries_name		French Fries
card_french_fries_status_0		Frying French Fries
card_ghoul_description		A haunted spirit
card_ghoul_name		Ghoul
card_grape_description		It's just a fancy berry
card_grape_name		Grape
card_grape_pulp_description		A slurry of Grapes
card_grape_pulp_name		Grape Pulp
card_grape_pulp_status_0		Stomping Grapes
card_grape_vine_description		Stringy berry bush
card_grape_vine_name		Grape Vine
card_grape_vine_status		Harvesting Grapes
card_greed_curse_description		A Greedy Royal rules the land. Fulfill his demands.
card_greed_curse_name		Curse of Greed
card_greed_recipe_description		Offering the Altar a Coin will summon a spirit
card_greed_recipe_name		World of Greed
card_greed_spirit_description		From a far away world, where a Royal rules the land
card_greed_spirit_name		Spirit of Greed
card_happiness_curse_description		Everyone needs Happiness.
card_happiness_curse_name		Curse of Sadness
card_happiness_description		A single unit of Happiness. It keeps Villagers happy
card_happiness_name		Happiness
card_happiness_recipe_description		Offering Charcoal at the Altar will summon a spirit
card_happiness_recipe_name		World of Sadness
card_happiness_spirit_description		From a far away world where Villagers get sad
card_happiness_spirit_name		Spirit of Sadness
card_herbal_tea_description		Makes you feel better
card_herbal_tea_name		Herbal Tea
card_herbal_tea_status_0		Making Herbal Tea
card_herbal_tea_status_1		Curing Villager
card_herbs_description		Leaves with flavor
card_herbs_name		Herbs
card_hop_plant_status_0		Gathering Hop
card_horse_description		Weird looking cow
card_horse_name		Horse
card_human_poop_description		It's extra smelly
card_human_poop_name		Villager Poop
card_imp_description		A nasty lil creature
card_imp_name		Imp
card_jester_description		Fun at parties
card_jester_hat_description		Makes you look like a clown
card_jester_hat_name		Jester's Hat
card_jester_hat_status_0		Creating a Jester's Hat
card_jester_name		Jester
card_kitten_description		Fluffy cuteness
card_kitten_name		Kitten
card_merchant_description		Selling a Dragon Egg for 100 Coins!
card_merchant_description_2		Selling a Dragon Egg for 100 Coins! Still needs [coinsNeeded] Coins.
card_merchant_name		Merchant
card_museum_description		Turns Resources into Happiness, for each new Resource it's given
card_museum_name		Museum
card_museum_status_0		Building a Museum
card_naming_stone_description		No more forgetting who's who!
card_naming_stone_name		Naming Stone
card_naming_stone_status_0		Building a Naming Stone
card_old_cat_description		Grumpy sometimes
card_old_cat_name		Old Cat
card_old_dog_description		Still adorable
card_old_dog_name		Old Dog
card_old_villager_description		Life's flashing before their eyes
card_old_villager_name		Old Villager
card_olive_description		Mediterranean classic
card_olive_name		Olive
card_olive_oil_description		Tasty olive juice
card_olive_oil_name		Olive Oil
card_olive_oil_status_0		Making Olive Oil
card_olive_pulp_description		A slurry of olives
card_olive_pulp_name		Olive Pulp
card_olive_pulp_status_0		Stomping Olives
card_olive_tree_description		Can grow as old as 3,500 years
card_olive_tree_name		Olive Tree
card_olive_tree_status		Harvesting Olives
card_outhouse_description		Use it to get rid of Poop
card_outhouse_name		Outhouse
card_outhouse_remove_poop		Getting rid of Poop
card_outhouse_status_0		Building an Outhouse
card_oven_description		Used to bake all sorts of things
card_oven_name		Oven
card_painting_description		A drawing of a French Villager
card_painting_name		Painting
card_painting_status_0		Creating a Painting
card_pancakes_description		A big stack!
card_pancakes_name		Pancakes
card_pancakes_status_0		Making Pancakes
card_paper_description		Wet wood, thinly-sliced
card_paper_name		Paper
card_paper_status_0		Making Paper
card_petting_zoo_description		Generates Happiness for every Animal on top of it
card_petting_zoo_name		Petting Zoo
card_petting_zoo_status_0		Building a Petting Zoo
card_petting_zoo_status_active		Petting Animals
card_pizza_description		Hell yeah
card_pizza_name		Pizza
card_pizza_status_0		Making Pizza
card_plague_mask_description		You can't get Sick
card_plague_mask_name		Plague Mask
card_plague_mask_status_0		Making a Plague Mask
card_poop_cant_sell		You can't sell Poop when the Curse of Death is active
card_poop_slime_description		Slime made of Poop
card_poop_slime_name		Poop Slime
card_possessed_blade_description		Makes its wielder feel uneasy
card_possessed_blade_name		Possessed Blade
card_puppy_description		It's adorable
card_puppy_name		Puppy
card_rag_description		Ill-fitted piece of cotton
card_rag_name		Rag
card_roasted_fish_description		Browned nicely
card_roasted_fish_name		Fried Fish
card_roasted_fish_status_0		Frying Fish
card_roasted_meat_description		Crunchy on the outside
card_roasted_meat_name		Fried Meat
card_roasted_meat_status_0		Frying Meat
card_royal_archer_description		Trained on the castle grounds
card_royal_archer_name		Royal Archer
card_royal_banquet_description		Some very tasty foods combined
card_royal_banquet_name		Royal Banquet
card_royal_banquet_status_0		Preparing a Royal Banquet
card_royal_crown_description		Gives you strength and makes you greedy
card_royal_crown_name		Royal Crown
card_royal_description	nog even over nadenken	A spoiled brat
card_royal_description_demand_2		"He demands that you bring him a Dragon Egg. Come back to him when you have it. "
card_royal_guard_description		Will give their life for the Royal
card_royal_guard_name		Royal Guard
card_royal_mage_description		A noble wizard
card_royal_mage_name		Royal Mage
card_royal_name		Royal
card_royal_tunic_description		Looking fancy on the battlefield
card_royal_tunic_name		Guard's Tunic
card_ruins_description		An ancient place. Requires [required_count] Villagers to explore.
card_ruins_name		Ruins
card_ruins_status		Exploring Ruins
